X,Y,Z
447289.137,254023.033,778.853
447286.454,254020.72,778.598
447274.834,254010.703,777.738
447260.059,253997.965,776.734
447252.343,253985.81,776.49
447251.019,253973.821,775.801
447248.765,253952.22,774.552
447241.686,253934.1,773.851
447237.551,253913.497,773.22
447234.143,253893.848,773.072
447230.183,253875.173,772.766
447224.749,253860.857,772.593
447221.601,253853.529,772.579
447211.451,253829.902,772.123
447202.965,253810.15,772.025
447196.36,253793.064,772.324
447191.002,253770.378,772.492
447187.423,253753.778,772.499
447186.377,253748.928,772.84
447183.688,253734.513,773.315
447183.312,253715.702,774.361
447183.477,253702.429,774.935
447183.735,253681.551,775.927
447184.722,253665.798,777.038
447190.765,253642.534,778.668
447196.607,253623.942,779.769
447206.5,253600.67,781.102
447214.387,253583.259,782.672
447220.702,253568.385,783.741
447219.421,253552.283,785.072
447216.684,253547.49,785.568
447208.856,253540.49,786.395
447203.274,253538.151,786.825
447185.49,253534.069,788.04
447162.524,253527.893,789.065
447145.849,253520.387,790.007
447126.361,253511.069,789.329
447107.375,253506.303,788.055
447082.578,253499.865,786.509
447067.305,253491.772,785.566
447047.81,253476.118,784.321
447026.558,253458.334,782.966
447008.948,253442.142,782.106
446995.392,253429.173,781.764
446979.661,253407.057,781.291
446962.279,253390.922,780.575
446943.889,253376.466,779.574
446924.024,253369.866,778.805
446904.689,253365.092,777.331
446884.865,253359.89,776.924
446872.248,253354.334,777.067
446864.796,253349.706,777.001
446850.697,253339.322,776.883
446834.692,253327.703,777.114
446815.412,253314.823,775.704
446794.645,253301.619,775.478
446773.152,253291.695,775.422
446752.844,253279.231,773.907
446735.394,253269.922,773.053
